customerId,customerName,email,phoneNumber,lineId,createAt,updatedAt
69d4549db587f82ef454aef3,สมชาย รักษ์ดี,somchai.r@example.com,081-234-5678,somchai_line,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aef4,นรีรัตน์ แสงทอง,nareerat.s@example.com,089-876-5432,naree_official,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aef5,ธนพล วิริยะ,tanapol.v@example.com,085-555-4433,tanapol_v,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aef6,พัชราภา มั่นคง,patchara.m@example.com,086-111-2233,patcha_m,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aef7,เกียรติศักดิ์ ชัยชนะ,kiatisak.c@example.com,084-777-8899,kiat_win,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aef8,สุพรรษา บัวหลวง,supansa.b@example.com,083-000-1122,pansaline,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aef9,วิชัย ประเสริฐ,wichai.p@example.com,082-999-0011,wichai_line,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aefa,อานนท์ สิทธิผล,arnon.s@example.com,088-444-5566,arnon_s,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aefb,สิรินทร์ ใจงาม,sirin.j@example.com,087-222-3344,sirin_beauty,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
69d4549db587f82ef454aefc,ชัยยุทธ รุ่งเรือง,chaiyuth.r@example.com,089-666-7788,yuth_r,2026-04-07T00:49:33.453+00:00,2026-04-07T00:49:33.453+00:00
