addressId,customerId,receiverName,phoneNumber,addressLine,subDistrict,district,province,postalCode,isDefault,updatedAt
69d4d751a6ac4254918f0510,69d4549db587f82ef454aef3,สมชาย รักษ์ดี,081-234-5678,123/45 ซ.สุขุมวิท 21 ถ.สุขุมวิท,คลองเตยเหนือ,วัฒนา,กทม.,10110,true,
69d4d751a6ac4254918f0511,69d4549db587f82ef454aef4,นรีรัตน์ แสงทอง,089-876-5432,75/6 ถ.พระราม 4,ทุ่งพญาไท,ราชเทวี,กทม.,10400,true,
69d4d751a6ac4254918f0512,69d4549db587f82ef454aef5,ธนพล วิริยะ,085-555-4433,128 ถ.ถลาง,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,83000,true,
69d4d751a6ac4254918f0513,69d4549db587f82ef454aef6,พัชราภา มั่นคง,086-111-2233,151 ม.4 บ้านโป่ง,ออนใต้,สันกำแพง,เชียงใหม่,50130,true,
69d4d751a6ac4254918f0514,69d4549db587f82ef454aef7,เกียรติศักดิ์ ชัยชนะ,084-777-8899,491 ถ.รังสิต-นครนายก 4,ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,12130,true,
69d4d751a6ac4254918f0515,69d4549db587f82ef454aef8,สุพรรษา บัวหลวง,083-000-1122,10/42 T9 เมืองทองธานี,บางพูด,ปากเกร็ด,นนทบุรี,11120,true,
69d4d751a6ac4254918f0516,69d4549db587f82ef454aef9,วิชัย ประเสริฐ,082-999-0011,43 ถ.สำราญ,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,50205,true,
69d4d751a6ac4254918f0517,69d4549db587f82ef454aefa,อานนท์ สิทธิผล,088-444-5566,687 ถ.ชาวนา,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,true,
69d4d751a6ac4254918f0518,69d4549db587f82ef454aefb,สิรินทร์ ใจงาม,087-222-3344,39/743 ซ.หัวหิน 102 แยก 7,หนองแค,หัวหิน,ประจวบคีรีขันธ์,77110,true,
69d4d751a6ac4254918f0519,69d4549db587f82ef454aefc,ชัยยุทธ รุ่งเรือง,089-666-7788,1111 หมู่ 9,หนองตุ้ม,วาปีปทุม,มหาสารคาม,44120,true,
